year,publisher,title,genres,console,max_players,review_score,sales,price 
2004,Activision,Spider-Man 2,Action,Nintendo DS,1,61,0.45,14.95
2004,Capcom,Darkstalkers Chronicle: The Chaos Tower,Action,Sony PSP,1,74,0.14,14.95
2004,EA,The Urbz: Sims in the City,Simulation,Nintendo DS,1,67,0.41,12.95
2004,EA,Madden NFL 2005,Sports,Nintendo DS,1,68,0.25,8.95
2004,Konami,Metal Gear Ac!d,Strategy,Sony PSP,1,75,0.34,17.95
2004,Namco,Ridge Racer DS,Racing,Nintendo DS,1,63,0.15,9.95
2004,Namco,Ridge Racer,Racing,Sony PSP,1,88,0.36,19.95
2004,Nintendo,Super Mario 64 DS,Action,Nintendo DS,1,85,4.69,24.95
2004,Nintendo,Polarium,Strategy,Nintendo DS,1,73,0.12,8.95
2004,Sega,Feel the Magic XY/XX,Adventure,Nintendo DS,1,75,0.16,8.95
2004,Sony,Ape Escape Academy,Action Sports,Sony PSP,4,51,0.13,14.95
2004,Ubisoft,Sprung,Adventure,Nintendo DS,1,48,0.06,8.95
2004,Ubisoft,Lumines: Puzzle Fusion,Strategy,Sony PSP,1,89,0.56,14.95
2005,2K,NHL 2K6 ,Sports,X360,1,75,0.1,5.95
2005,Activision,Spider-Man 2,Action,Sony PSP,1,67,0.38,14.95
2005,Activision,X-Men: Legends II - Rise of Apocalypse,Action-Role,Sony PSP,1,84,0.27,17.95
2005,Activision,Quake 4,Action,X360,1,75,0.27,14.95
2005,Activision,GUN ,Open World,X360,1,75,0.22,19.95
2005,Activision,Call of Duty 2,Action,X360,4,89,1.69,17.95
2005,Atari,Dragon Ball Z: Supersonic Warriors 2,Action,Nintendo DS,1,66,0.13,22.95
2005,Capcom,Grand Theft Auto: Liberty City Stories,Open World,Sony PSP,1,88,2.97,17.95
2005,EA,Harry Potter and the Goblet of Fire,Action,Nintendo DS,1,68,0.21,17.95
2005,EA,Need for Speed Underground 2,Racing,Nintendo DS,1,65,0.11,22.95
2005,EA,Need for Speed Underground: Rivals,Racing,Sony PSP,4,74,0.73,17.95
2005,EA,The Sims 2,Strategy,Sony PSP,1,65,0.46,14.95
2005,EA,FIFA Soccer,Sports,Sony PSP,1,73,0.12,14.95
2005,EA,NFL Street 2,Sports,Sony PSP,4,73,0.37,17.95
2005,EA,Need for Speed: Most Wanted,Racing,X360,2,83,0.95,17.95
2005,EA,Pac-Man World 3,Action,Sony PSP,1,61,0.06,24.95
2005,Konami,Castlevania: Dawn of Sorrow,Action-Role,Nintendo DS,1,89,0.31,17.95
2005,Konami,Coded Arms,Action,Sony PSP,1,59,0.3,12.95
2005,Konami,Frogger: Helmet Chaos,Action,Sony PSP,1,66,0.11,19.95
2005,Namco,Dig Dug: Digging Strike,Action,Nintendo DS,1,65,0.06,16.95
2005,Nintendo,Yoshi Touch & Go,Action,Nintendo DS,1,73,0.36,17.95
2005,Nintendo,Super Princess Peach,Action,Nintendo DS,1,75,0.7,29.95
2005,Nintendo,Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing,Nintendo DS,1,62,1.22,14.95
2005,Nintendo,Nintendogs,Simulation,Nintendo DS,1,83,9.72,26.95
2005,Nintendo,Animal Crossing: Wild World,Simulation,Nintendo DS,1,86,2.6,24.95
2005,Nintendo,Pokmon Trozei!,Strategy,Nintendo DS,1,74,0.26,19.95
2005,Nintendo,Clubhouse Games,Strategy,Nintendo DS,1,83,0.61,17.95
2005,Sega,Super Monkey Ball: Touch & Roll,Action,Nintendo DS,1,63,0.7,15.95
2005,Sega,The Rub Rabbits!,Adventure,Nintendo DS,2,68,0.02,17.95
2005,Sony,Ghost in the Shell: Stand Alone Complex,Action,Sony PSP,1,61,0.07,14.95
2005,Sony,The Con,Action,Sony PSP,1,63,0.15,8.95
2005,Sony,Pursuit Force,Open World,Sony PSP,1,75,0.14,14.95
2005,Sony,ATV Offroad Fury: Blazin' Trails,Racing,Sony PSP,4,63,0.56,12.95
2005,Sony,Gretzky NHL,Sports,Sony PSP,2,61,0.1,9.95
2005,SquareEnix,Dragon Quest Heroes: Rocket Slime,Action,Nintendo DS,1,83,0.13,12.95
2005,THQ,SpongeBob SquarePants: The Yellow Avenger,Action,Nintendo DS,1,67,0.31,13.95
2005,Ubisoft,Star Wars: Episode III - Revenge of the Sith,Action,Nintendo DS,1,73,0.28,16.95
2005,Ubisoft,Bomberman,Strategy,Nintendo DS,1,75,0.11,17.95
2005,Ubisoft,Prince of Persia: Revelations,Action,Sony PSP,1,65,0.17,6.95
2006,Activision,X-Men: The Official Game,Action,Nintendo DS,1,50,0.1,14.95
2006,Capcom,Capcom Classics Collection Reloaded,Action,Sony PSP,1,75,0.26,17.95
2006,EA,Fight Night Round 3,Action Sports,PlayStation 3,2,83,0.86,13.95
2006,EA,Fight Night Round 3,Sports,Sony PSP,2,74,0.48,16.95
2006,EA,007: From Russia with Love,Open World,Sony PSP,1,61,0.07,17.95
2006,EA,Fight Night Round 3,Action Sports,X360,2,86,1.4,14.95
2006,Eidos,Just Cause,Open World,X360,1,73,0.09,16.95
2006,Konami,Castlevania: Portrait of Ruin,Action,Nintendo DS,1,85,0.3,17.95
2006,Konami,Bomberman: Act Zero,Action,X360,1,34,0.04,12.95
2006,Microsoft,Gears of War,Action,X360,2,94,3.7,19.95
